Command, a1p1, A3_a1_p1, CS4500A1P1, CS4500_Assn1_Part1, sorer, swd_assignment_3
-from 0 -len 10000 -print_col_type 10, 0.040, 0.035, 0.003, 0.073, 0.002, 0.002
-from 100000000 -len 10000 -print_col_type 15, 0.039, 0.034, 0.003, 0.001, 0.002, 0.002
-from 0 -len 200000000 -print_col_type 9, 0.062, 12.579, 0.003, 16.057, 0.740, 5.049
-from 0 -len 10000 -print_col_idx 0 0, 0.044, 0.034, 0.003, 0.072, 0.003, 0.002
-from 0 -len 200000000 -print_col_idx 0 0, 60.472, 12.574, 4.322, 16.113, 0.750, 5.048
-from 0 -len 200000000 -print_col_idx 10 5000, 60.588, 12.619, 4.311, 16.091, 0.756, 5.096
-from 0 -len 200000000 -print_col_idx 10 10000, 7221.198, 12.770, 4.413, 15.993, 0.757, 5.173
-from 0 -len 200000000 -print_col_idx 16 100000, 61.460, 12.608, 4.441, 16.146, 0.784, 5.145
-from 0 -len 200000000 -print_col_idx 16 500000, 60.850, 12.776, 4.309, 16.220, 0.750, 5.186
-from 0 -len 200000000 -print_col_idx 16 700000, 62.477, 12.840, 4.416, 16.328, 0.736, 5.333
-from 0 -len 200000000 -print_col_idx 16 999999, 60.266, 12.601, 4.332, 16.032, 0.758, 5.085
-from 100000000 -len 10000 -print_col_idx 7 10, 0.044, 0.035, 0.003, ./benchmark.sh: line 42: 71804 Segmentation fault (core dumped) ./${proj}/sorer -f ${TESTFILE} ${cmd} 0.234, 0.002, 0.002
-from 0 -len 10000 -is_missing_idx 14 15, 0.044, 0.038, 0.003, 0.075, 0.002, 0.002
-from 0 -len 200000000 -is_missing_idx 14 15, 60.145, 12.676, 4.327, 15.970, 0.774, 5.120
-from 0 -len 200000000 -is_missing_idx 4 250000, 60.753, 12.611, 4.417, 16.060, 0.764, 5.051
-from 0 -len 200000000 -is_missing_idx 4 750020, 61.183, 12.645, 4.316, 16.046, 0.765, 5.397
-from 0 -len 200000000 -is_missing_idx 19 999999, 60.638, 12.599, 4.333, 16.098, 0.784, 5.149
-from 500000 -len 50000 -is_missing_idx 9 100, 0.068, 0.036, 0.004, ./benchmark.sh: line 42: 73269 Segmentation fault (core dumped) ./${proj}/sorer -f ${TESTFILE} ${cmd} 0.230, 0.003, 0.005
